"BILANGAN KES DENGGI MENGIKUT MINGGU EPID, TAHUN 2010",JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
1,46,7,17,8,20,17,23,0,37,55,255,400,18,62,0,965
2,49,5,16,7,25,21,38,1,28,35,207,468,15,83,2,1000
3,71,11,23,14,29,20,24,2,27,45,183,502,12,101,1,1065
4,79,11,13,16,70,31,18,6,20,73,133,525,24,80,2,1101
5,75,15,18,9,112,33,19,4,20,63,121,461,43,109,1,1103
6,54,7,20,7,92,29,34,8,27,49,123,474,19,116,0,1059
7,59,9,18,6,62,25,27,2,22,48,82,451,30,93,1,935
8,50,4,18,7,50,31,36,2,34,48,114,583,28,116,0,1121
9,45,14,28,4,31,38,65,4,23,49,100,496,23,154,0,1074
10,59,9,27,10,32,33,46,0,24,39,106,467,18,169,0,1039
11,53,12,23,11,25,21,31,1,18,29,72,447,15,140,0,898
12,51,15,35,6,20,28,27,1,14,13,87,381,12,107,0,797
13,66,12,21,11,23,19,40,1,18,25,55,425,13,94,0,823
14,55,24,21,12,24,24,49,5,14,26,51,460,15,106,0,886
15,79,21,38,11,25,17,29,1,21,19,66,459,18,109,1,914
16,50,18,29,18,37,13,38,4,18,22,42,441,17,138,0,885
17,62,18,31,16,51,20,40,2,17,18,55,329,12,119,0,790
18,88,23,35,10,42,15,38,4,17,37,47,301,11,92,0,760
19,53,21,32,15,51,17,33,4,18,35,44,337,15,91,0,766
20,61,19,32,18,56,14,37,6,27,53,48,370,22,71,0,834
21,90,33,45,17,40,34,38,3,21,39,46,287,15,81,0,789
22,96,25,33,14,50,27,54,2,21,43,44,311,11,83,0,814
23,91,17,32,13,70,57,78,5,23,91,54,286,7,66,1,891
24,113,14,40,13,65,44,66,3,31,77,57,325,16,76,2,942
25,79,18,64,31,35,53,78,2,23,76,60,332,13,74,0,938
26,144,22,67,25,36,40,63,5,40,71,70,381,12,73,2,1051
27,129,19,81,20,29,35,56,0,34,55,156,346,17,84,0,1061
28,131,20,89,26,36,34,38,7,38,57,146,307,25,89,0,1043
29,105,16,131,18,28,47,93,7,48,50,137,289,20,82,0,1071
30,101,21,176,16,15,39,65,9,39,62,127,323,19,89,0,1101
31,81,14,146,71,19,39,67,5,50,56,98,241,26,73,1,987
32,77,7,154,80,16,35,43,2,43,36,119,250,19,69,2,952
33,87,25,200,98,12,36,74,5,39,40,94,258,42,64,0,1074
34,121,26,257,84,13,32,63,10,50,55,102,223,48,75,0,1159
35,149,13,307,43,9,30,58,9,66,54,77,236,42,51,0,1144
36,114,6,214,36,9,16,41,5,54,38,67,186,57,55,0,898
37,107,14,169,46,9,16,41,7,69,42,56,150,38,39,0,803
38,137,14,163,62,10,31,55,5,51,37,66,242,47,53,0,973
39,118,11,132,63,11,38,48,7,62,33,67,190,64,69,0,913
40,151,13,101,66,10,30,40,4,51,44,69,181,99,52,0,911
41,135,20,98,61,10,40,41,8,62,26,61,190,105,77,0,934
42,142,14,64,53,9,42,47,12,48,31,65,227,62,72,0,888
43,123,17,54,53,9,36,51,6,41,17,42,246,38,74,0,807
44,77,6,38,42,9,37,39,0,31,29,57,198,46,71,1,681
45,86,11,36,39,10,35,36,6,43,22,48,217,34,61,0,684
46,72,10,29,40,9,47,28,6,43,21,49,167,24,45,0,590
47,70,10,28,32,12,58,27,4,52,29,40,178,28,61,0,629
48,56,18,44,31,8,48,30,2,38,18,49,186,29,43,0,600
49,65,22,20,28,9,46,20,2,42,15,38,132,30,28,1,498
50,58,13,28,17,6,51,36,4,58,19,29,139,18,47,1,524
51,45,9,22,23,7,42,42,4,42,13,30,178,23,39,0,519
52,51,9,21,8,4,27,40,1,37,14,29,188,18,40,0,487
Grand Total,4406,782,3578,1485,1501,1688,2288,215,1834,2091,4240,16367,1472,4205,19,46171
"BILANGAN KES DENGGI MENGIKUT KUMPULAN UMUR, TAHUN 2010",JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,118,14,74,22,17,30,43,5,39,62,166,524,58,116,0,1288
5-9,174,29,143,42,40,76,84,13,58,123,242,900,105,265,1,2295
10-14,374,61,393,117,110,166,205,18,158,197,272,1455,171,442,2,4141
15-19,597,121,656,212,183,253,336,34,205,271,414,1940,224,553,2,6001
20-24,670,107,411,203,219,255,256,35,243,226,444,2570,228,649,1,6517
25-29,677,66,342,175,175,184,222,28,249,226,476,2461,166,603,1,6051
30-34,516,71,265,147,148,139,194,13,237,184,368,1887,122,438,3,4732
35-39,407,53,267,112,151,128,189,16,161,138,380,1374,83,317,0,3776
40-44,291,65,243,117,108,110,172,13,142,133,330,1032,76,252,4,3088
45-49,196,65,218,88,94,108,168,13,99,135,313,800,73,155,1,2526
50-54,155,39,198,99,95,87,127,11,87,124,281,570,53,159,0,2085
55-59,101,43,165,69,81,61,108,7,56,90,196,372,46,106,2,1503
60-64,66,20,94,35,42,44,84,5,47,55,141,214,25,74,0,946
65-69,34,15,61,19,19,28,43,2,23,56,94,122,20,32,1,569
70-74,21,4,23,19,11,13,31,2,20,36,49,87,11,26,0,353
>75,9,9,25,9,8,6,26,0,10,35,74,59,11,18,1,300
